episode_id,channel,duration_sec,programme,has_remote_guest,covers_market_news,local_path,sha256,license_attestation,sample_rate,channels,codec,bit_rate_kbps,file_size_bytes,duration_flag,rejection_reason,sha256_verified,notes
ep001,RTV Business,1504.42,RTV Business Talk,False,False,datasets/Business A–Z _ ব্যবসা বাণিজ্য বিষয়ক অনুষ্ঠান _ বিজনেস এ টু জেড _ EP-29 _ GTV.mp3,5a09196e015dd089270bfdb8e2721499794a1483660e219dd6ffd5e310cb18df,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,76,14573301,short,,True,
ep002,RTV Business,1754.04,RTV Business Talk,False,False,datasets/অর্থনৈতিক বৈষম্য ও রাজস্ব খাত  _ ATN Business & Finance _ ATN Bangla Talkshow _.mp3,d0209a40a20cc0e7e769e0d6e7bf7ae78a615a7d7ebdefb14c093f1fdccbb536,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,61,13803034,short,,True,
ep003,RTV Business,1749.5,RTV Business Talk,False,False,datasets/পোশাক শিল্প অর্ডার সংকটে বাংলাদেশ _ ATN Business & Finance _ ATN Bangla.mp3,963cdbac4bc56e4a66d5610eb3259edd700ed3fe1f025a9f2cb35d509363c580,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,69,15424432,short,,True,
ep004,RTV Business,1878.67,RTV Business Talk,False,False,datasets/বাংলাদেশ পোশাক শিল্প কম দামে বেশি উৎপাদনের মডেল _ ATN Business & Finance _ ATN Bangla Talk Show.mp3,82de162429e96ce159d52151f807de9d22b96a280925a3d5b4553d6f665ce946,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,73,17598593,ok,,True,
ep005,RTV Business,1842.78,RTV Business Talk,False,False,datasets/ব্যাংক একীভূতকরণ ঝুঁকি নাকি সরকারের সিদ্ধান্ত  _ ATN Business & Finance _ ATN Bangla.mp3,05621bb9d43e47a2516980ef20e696a392f9c5fac6c95fc6aff026d5f77a8655,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,71,16688337,ok,,True,
