episode_id,channel,duration_sec,programme,has_remote_guest,covers_market_news,local_path,sha256,license_attestation,sample_rate,channels,codec,bit_rate_kbps,file_size_bytes,duration_flag,rejection_reason,sha256_verified,notes
ep001,ATN Bangla,2705.04,ATN Business & Finance,False,False,datasets/অর্থনৈতিক চ্যালেঞ্জ ও ব্যাংকিং খাত  Business Review  Talk Show  Syed Abu Naser Bukhtear Ahmed - Kaler Kantho.mp3,19f0b201986482d30c5623cc5bf9fc8dc9b8c9bdc502b27d3b30590537370ca0,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,320,108201836,ok,,True,
ep002,ATN Bangla,3396.82,ATN Business & Finance,False,False,datasets/আগামীর অর্থনীতি  Agamir Orthoniti  EP 03  Talk Show 2025 - Channel S.mp3,fc08816c687b5842498b527d1b82315f521481ca02ee14fa65278db83c2f0bb7,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,320,135872804,ok,,True,
ep003,ATN Bangla,941.62,ATN Business & Finance,False,False,datasets/কর আদায় না ছাড়ের বাজেট  Business Review  Bangladesh Economy  Talk Show  Kaler Kantho - Kaler Kantho.mp3,5a352d39f25779f1570ea854254e33d5bd594a3bdf3fc65bf8cb3ac7489a2bdc,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,320,37664844,short,,True,
ep004,ATN Bangla,2902.73,ATN Business & Finance,False,False,datasets/বিদ্যুৎ ও জ্বালানিখাতের অস্থিরতায় কারা দায়ী  দেশ সন্ধ্যা  Desh Sondha  Bangla Talk Show  Desh TV - Desh TV News.mp3,b6fbaff39ef81d640322c79f54f326fb591593ddb299b9931054f2e6213a09f9,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,320,116109396,ok,,True,
ep005,ATN Bangla,1674.07,ATN Business & Finance,False,False,datasets/ব্যাংকের দেউলিয়াত্বঃ নাকি গুজব  ATN Business & Finance  ATN Bangla Talkshow - ATN Bangla Talk Show.mp3,209571a51fc75f8bf62542db56352066c66d9287754784a36d298609ef7e246d,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,320,66963099,short,,True,
