episode_id,channel,duration_sec,programme,has_remote_guest,covers_market_news,local_path,sha256,license_attestation,sample_rate,channels,codec,bit_rate_kbps,file_size_bytes,duration_flag,rejection_reason,sha256_verified,notes
ep001,unknown,2729.46,EP 30 Minutes Special 226_ Budget 2026-2027 - Green Transition and Energy Security,False,False,datasets/EP 30 Minutes Special 226_ Budget 2026-2027 - Green Transition and Energy Security.mp3,33385930614491c9001f5ce0c7ac213e8b1acf4bbebea9ce5672a38ed7cf80ac,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,67,23130812,ok,,True,
ep002,unknown,2077.07,"Talk show on current trade, investment and economic condition of Bangladesh.",False,True,"datasets/Talk show on current trade, investment and economic condition of Bangladesh..mp3",210fad2e7915ef8f1c33232dd893ad4bb646ae78335fb215b7d50ce79a1c6a2b,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,68,17744184,ok,,True,
ep003,unknown,3459.79,অরথনতক সকট ও বজট  The Business Review  Bangladesh Economy  Talk Show  Kaler Kantho,False,False,datasets/অরথনতক সকট ও বজট  The Business Review  Bangladesh Economy  Talk Show  Kaler Kantho.mp3,a266b4857a0e771a7777f5291324ee2019a4cb7f723526501c95e4d07b38136d,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,81,35140180,ok,,True,
ep004,unknown,2037.58,"অনক করখন বনধ হয়ছ, সমন আরও কঠন পরসথত আসছ_ বটএমএ সভপত Star Biz Dialogue Star News",False,False,"datasets/অনক করখন বনধ হয়ছ, সমন আরও কঠন পরসথত আসছ_ বটএমএ সভপত Star Biz Dialogue Star News.mp3",8f18246d527cae5ffcc97056cd4d53011aba1136a9499a76f4bf6da669657fdf,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,88,22641012,ok,,True,
ep005,unknown,2097.45,কয়কট বযক বদ বক সব বযকই সকট  ড. তফক আহমদ চধর Stream Talk  Dhaka Stream,False,False,datasets/কয়কট বযক বদ বক সব বযকই সকট  ড. তফক আহমদ চধর Stream Talk  Dhaka Stream.mp3,038ac707285f8eb345b4ec3bd5601cf5f6b8f74425694684d915e4f8dcf1ee93,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,81,21263885,ok,,True,
ep006,unknown,1411.34,যকতরষটরর ভমক থকত পর তব চনক বদ দয় রহঙগ সমসযর সমধন হব ন,False,False,datasets/যকতরষটরর ভমক থকত পর তব চনক বদ দয় রহঙগ সমসযর সমধন হব ন.mp3,8ac83b89561d1b1f9911851503ab9923ecb4299a1e5ae91fd14e197d22bfcdcd,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,73,13022785,short,,True,
