episode_id,channel,duration_sec,programme,has_remote_guest,covers_market_news,local_path,sha256,license_attestation,sample_rate,channels,codec,bit_rate_kbps,file_size_bytes,duration_flag,rejection_reason,sha256_verified,notes
ep001,RTV Business,1804.3,RTV Business Talk,False,False,datasets/অর্থনীতিতে স্বস্তি নাকি নতুন চাপ？ ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [_keKEuINfFQ].mp3,2f8473a6880c9bee92e867c80303502faabd0a1e24afe0d22d2e94781041e80b,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,79,17921948,ok,,True,
ep002,RTV Business,1545.31,RTV Business Talk,False,False,datasets/অর্থবছর বদলে কতটা বদলাবে বাংলাদেশর অর্থনীতি ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [61H53sGVRKk].mp3,0d208e556dcc57c3f696f9d1012ae506c5b7b5a89926bef436ed3e8065ff22b2,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,79,15367340,short,,True,
ep003,RTV Business,2851.85,RTV Business Talk,False,False,datasets/জ্বালানি সংকট কাটছে ! ｜ দেশ সন্ধ্যা ｜ Desh Sondha ｜ Bangla Talk Show ｜ Desh TV [8D0phC33tDA].mp3,636f798d2eb7a299cd4b319ec183122b6467008ff2906aff638504b0620a01aa,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,78,27934868,ok,,True,
ep004,RTV Business,1800.65,RTV Business Talk,False,False,"datasets/নতুন পে-স্ক্যাল বেতন বাড়বে, অর্থনীতিতে চাপ ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [bkDhnv2Fgx4].mp3",d163c0c3b22006ced6fefc8a9ddc3068a683055dbca628b633a1246882ff753a,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,80,18154052,ok,,True,
ep005,RTV Business,2887.32,RTV Business Talk,False,False,datasets/সরকারের রাজস্ব নীতিতে ঘুরবে কী অর্থনীতি？ ｜ প্রশ্নগুলো সহজ ｜ Talk Show ｜ Season 2 ｜ Global TV News [o9_88v_ZO9c].mp3,832420ef69553e9e896690e18c281cd5859ad798ec84629123faf047579c84c8,UNVERIFIED — must be completed before Stage 4,48000,2,MP3,74,27054500,ok,,True,
